[2025-03-01 16:21:38,738 ] 22 root - INFO - Initiate the data ingestion
[2025-03-01 16:22:04,286 ] 65 root - INFO - Performed train test split on the dataframe
[2025-03-01 16:22:04,286 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-03-01 16:22:04,287 ] 75 root - INFO - Exporting train and test file path.
[2025-03-01 16:22:04,341 ] 84 root - INFO - Exported train and test file path.
[2025-03-01 16:22:04,342 ] 24 root - INFO - Data Initiation Completed
[2025-03-01 16:22:04,360 ] 28 root - INFO - Initiate the data validation
[2025-03-01 16:22:04,407 ] 32 root - INFO - Required number of columns:2
[2025-03-01 16:22:04,407 ] 33 root - INFO - Data frame has columns:31
[2025-03-01 16:22:04,407 ] 32 root - INFO - Required number of columns:2
[2025-03-01 16:22:04,407 ] 33 root - INFO - Data frame has columns:31
[2025-03-01 16:22:04,523 ] 30 root - INFO - data Validation Completed
[2025-03-01 16:22:04,523 ] 33 root - INFO - Data Transformation Started
[2025-03-01 16:22:04,523 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-03-01 16:22:04,523 ] 65 root - INFO - Starting data transformation
[2025-03-01 16:22:04,543 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-03-01 16:22:04,543 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-03-01 16:22:04,555 ] 48 root - INFO - Entered the save_object method of MainUtils class
[2025-03-01 16:22:04,558 ] 52 root - INFO - Exited the save_object method of MainUtils class
[2025-03-01 16:22:04,558 ] 48 root - INFO - Entered the save_object method of MainUtils class
[2025-03-01 16:22:04,560 ] 52 root - INFO - Exited the save_object method of MainUtils class
[2025-03-01 16:22:04,561 ] 37 root - INFO - data Transformation Completed
[2025-03-01 16:22:04,561 ] 40 root - INFO - Model Training Started
