[2025-02-28 23:45:00,334 ] 18 root - INFO - Initiate the data ingestion
[2025-02-28 23:45:11,910 ] 65 root - INFO - Performed train test split on the dataframe
[2025-02-28 23:45:11,910 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-28 23:45:11,911 ] 75 root - INFO - Exporting train and test file path.
[2025-02-28 23:45:11,957 ] 84 root - INFO - Exported train and test file path.
[2025-02-28 23:45:11,958 ] 20 root - INFO - Data Initiation Completed
[2025-02-28 23:45:11,965 ] 24 root - INFO - Initiate the data validation
[2025-02-28 23:45:12,016 ] 32 root - INFO - Required number of columns:2
[2025-02-28 23:45:12,016 ] 33 root - INFO - Data frame has columns:31
[2025-02-28 23:45:12,016 ] 32 root - INFO - Required number of columns:2
[2025-02-28 23:45:12,016 ] 33 root - INFO - Data frame has columns:31
[2025-02-28 23:45:12,149 ] 26 root - INFO - data Validation Completed
[2025-02-28 23:45:12,151 ] 29 root - INFO - Data Transformation Started
[2025-02-28 23:45:12,151 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-02-28 23:45:12,151 ] 65 root - INFO - Starting data transformation
[2025-02-28 23:45:12,168 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-02-28 23:45:12,169 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-02-28 23:45:12,182 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-02-28 23:45:12,184 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-02-28 23:45:12,184 ] 47 root - INFO - Entered the save_object method of MainUtils class
[2025-02-28 23:45:12,186 ] 51 root - INFO - Exited the save_object method of MainUtils class
[2025-02-28 23:45:12,187 ] 33 root - INFO - data Transformation Completed
