[2025-03-01 18:49:02,924 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2025-03-01 18:49:03,785 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2025-03-01 18:49:04,314 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-03-01 18:49:04,319 ] 107 dagshub - INFO - Accessing as akbarsheikh27012701
[2025-03-01 18:49:04,954 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/akbarsheikh27012701/Network_Security "HTTP/1.1 200 OK"
[2025-03-01 18:49:05,756 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-03-01 18:49:05,758 ] 107 dagshub - INFO - Initialized MLflow to track repo "akbarsheikh27012701/Network_Security"
[2025-03-01 18:49:05,759 ] 107 dagshub - INFO - Repository akbarsheikh27012701/Network_Security initialized!
[2025-03-01 18:49:05,759 ] 22 root - INFO - Initiate the data ingestion
[2025-03-01 18:49:15,017 ] 65 root - INFO - Performed train test split on the dataframe
[2025-03-01 18:49:15,017 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-03-01 18:49:15,018 ] 75 root - INFO - Exporting train and test file path.
[2025-03-01 18:49:15,068 ] 84 root - INFO - Exported train and test file path.
[2025-03-01 18:49:15,069 ] 24 root - INFO - Data Initiation Completed
[2025-03-01 18:49:15,077 ] 28 root - INFO - Initiate the data validation
[2025-03-01 18:49:15,128 ] 32 root - INFO - Required number of columns:2
[2025-03-01 18:49:15,128 ] 33 root - INFO - Data frame has columns:31
[2025-03-01 18:49:15,128 ] 32 root - INFO - Required number of columns:2
[2025-03-01 18:49:15,128 ] 33 root - INFO - Data frame has columns:31
[2025-03-01 18:49:15,262 ] 30 root - INFO - data Validation Completed
[2025-03-01 18:49:15,263 ] 33 root - INFO - Data Transformation Started
[2025-03-01 18:49:15,264 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-03-01 18:49:15,264 ] 65 root - INFO - Starting data transformation
[2025-03-01 18:49:15,285 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-03-01 18:49:15,285 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-03-01 18:49:15,299 ] 48 root - INFO - Entered the save_object method of MainUtils class
[2025-03-01 18:49:15,302 ] 52 root - INFO - Exited the save_object method of MainUtils class
[2025-03-01 18:49:15,302 ] 48 root - INFO - Entered the save_object method of MainUtils class
[2025-03-01 18:49:15,305 ] 52 root - INFO - Exited the save_object method of MainUtils class
[2025-03-01 18:49:15,307 ] 37 root - INFO - data Transformation Completed
[2025-03-01 18:49:15,307 ] 40 root - INFO - Model Training Started
[2025-03-01 18:53:47,826 ] 48 root - INFO - Entered the save_object method of MainUtils class
[2025-03-01 18:53:47,827 ] 52 root - INFO - Exited the save_object method of MainUtils class
[2025-03-01 18:53:47,827 ] 48 root - INFO - Entered the save_object method of MainUtils class
[2025-03-01 18:53:47,844 ] 52 root - INFO - Exited the save_object method of MainUtils class
[2025-03-01 18:53:47,845 ] 130 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_01_2025_18_48_38\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915795881099726, precision_score=0.990273556231003, recall_score=0.9928890694839496), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9753734356075898, precision_score=0.9726247987117552, recall_score=0.9781376518218623))
[2025-03-01 18:53:47,847 ] 45 root - INFO - Model Training artifacts created
